longitude,latitude,elevation,name,station_id,timeZone
-73.10167,40.79389,29.8704,"Islip, Long Island Mac Arthur Airport",KISP,America/New_York
-86.40611,32.30028,67.056,"Montgomery, Dannelly Field",KMGM,America/Chicago
-80.1825,42.08,223.1136,"Erie, Erie International Airport",KERI,America/New_York
-83.74944,42.96667,238.0488,"Flint, Bishop International Airport",KFNT,America/Detroit
-89.34528,43.14056,262.128,"Madison, Dane County Regional-Truax Field",KMSN,America/Chicago
-94.16778,36.01028,381,"Fayetteville, Drake Field",KFYV,America/Chicago
-78.93818,43.10829,178.9176,"Niagara Falls, Niagara Falls International Airport",KIAG,America/New_York
-74.56699,39.45202,17.0688,"Atlantic City, Atlantic City International Airport",KACY,America/New_York
-86.41944,36.96444,167.0304,"Bowling Green, Bowling Green-Warren County Regional Airport",KBWG,America/Chicago
-94.12734,46.40205,371.856,Brainerd - Crow Wing County Airport,KBRD,America/Chicago
-87.40908,41.61212,178.0032,Gary Regional Airport,KGYY,America/Chicago
-90.08361,33.4925,46.9392,"Greenwood, Greenwood-LeFlore Airport",KGWO,America/Chicago
-86.9475,40.4125,184.0992,"Lafayette, Purdue University Airport",KLAF,America/Indiana/Indianapolis
-86.23667,43.17111,191.1096,"Muskegon, Muskegon County Airport",KMKG,America/Detroit
-80.6356,28.09973,6.096,Melbourne International Airport,KMLB,America/New_York
-91.14694,30.53722,21.0312,"Baton Rouge, Baton Rouge Metropolitan, Ryan Field",KBTR,America/Chicago
-80.22472,39.3,366.0648,"Clarksburg, Clarksburg Benedum Airport",KCKB,America/New_York
-90.70361,42.39778,327.9648,"Dubuque, Dubuque Regional Airport",KDBQ,America/Chicago
-84.21861,39.90611,306.9336,"Dayton, Cox Dayton International Airport",KDAY,America/New_York
-91.485,44.86528,277.0632,"Eau Claire, Chippewa Valley Regional Airport",KEAU,America/Chicago
-78.88,34.98944,56.9976,"Fayetteville, Fayetteville Regional Airport",KFAY,America/New_York
-75.60567,39.67442,21.9456,"Wilmington, New Castle County Airport",KILG,America/New_York
-80.94861,35.21333,227.9904,"Charlotte, Charlotte / Douglas International Airport",KCLT,America/New_York
-92.21833,38.81694,270.9672,"Columbia, Columbia Regional Airport",KCOU,America/Chicago
-81.96333,33.36444,43.8912,"Augusta, Bush Field",KAGS,America/New_York
-87.52028,38.04306,127.1016,"Evansville, Evansville Regional Airport",KEVV,America/Chicago
-82.27556,29.69194,46.0248,"Gainesville, Gainesville Regional Airport",KGNV,America/New_York
-86.78556,34.64361,192.024,"Huntsville, Huntsville International / Jones Field",KHSV,America/Chicago
-84.61146,38.0339,291.084,Lexington Blue Grass Airport,KLEX,America/New_York
-77.975,39.40372,163.9824,Eastern WV Regional Airport/Shepherd Field,KMRB,America/New_York
-69.79722,44.32056,106.9848,"Augusta, Augusta State Airport",KAUG,America/New_York
-97.91667,36.33333,398.0688,Vance Air Force Base / Enid,KEND,America/Chicago
-72.65167,41.735,4.8768,"Hartford, Hartford-Brainard Airport",KHFD,America/New_York
-77.32333,37.51111,50.9016,"Richmond, Richmond International Airport",KRIC,America/New_York
-89.09333,42.19278,224.028,"Rockford, Greater Rockford Airport",KRFD,America/Chicago
-86.31861,41.70889,244.1448,"South Bend, South Bend Regional Airport",KSBN,America/Indiana/Indianapolis
-98.49278,33.97861,309.0672,"Wichita Falls, Sheppard Air Force Base",KSPS,America/Chicago
-95.40389,32.35861,164.8968,"Tyler, Tyler Pounds Field",KTYR,America/Chicago
-83.98583,35.81806,299.0088,"Knoxville, McGhee Tyson Airport",KTYS,America/New_York
-89.68389,40.6675,200.8632,Peoria - General Downing-Peoria International Airport,KPIA,America/Chicago
-75.51028,38.34056,15.8496,"Salisbury, Salisbury-Ocean City Wicomico County Regional Airport",KSBY,America/New_York
-75.01361,40.07889,35.9664,"Philadelphia, Northeast Philadelphia Airport",KPNE,America/New_York
-88.77,34.26806,106.0704,"Tupelo, Tupelo Regional Airport",KTUP,America/Chicago
